gdp,gni,date,series,gdp_capita,gni_capita
729512.3298442409,725841.2999160282,2005-01-01,abs,28008.07716227817,27867.819418547035
772180.4789349193,779772.0060079219,2006-01-01,abs,29084.686343550802,29369.934063367728
5.8,7.4,2006-01-01,growth_yoy,3.8,5.4
6.5,5.9,2007-01-01,growth_yoy,4.5,3.9
822219.260112772,826024.4768766321,2007-01-01,abs,30387.009968559338,30528.17052640145
861746.8931301754,845705.9425645787,2008-01-01,abs,31259.0146900426,30677.013321503273
4.8,2.4,2008-01-01,growth_yoy,2.9,0.5
-1.6,0.6,2009-01-01,growth_yoy,-3.4,-1.2
847648.6715437366,851031.7772904634,2009-01-01,abs,30185.65319860789,30305.761752111368
7.2,3.9,2010-01-01,growth_yoy,5.3,2.1
908628.9197855636,884216.8772512688,2010-01-01,abs,31782.997480258426,30929.129285634594
5.3,5.5,2011-01-01,growth_yoy,3.6,3.8
956730.9428401182,932856.9605438828,2011-01-01,abs,32920.11930567539,32098.741565317097
1009097.1727399864,969270.5930383328,2012-01-01,abs,34195.509835544806,32845.87032192037
5.5,3.9,2012-01-01,growth_yoy,3.9,2.3
4.7,5.2,2013-01-01,growth_yoy,2.3,2.7
1056461.3939875828,1019210.3690637879,2013-01-01,abs,34966.49613157168,33733.085720386756
6.0,6.1,2014-01-01,growth_yoy,4.3,4.4
1119920.0924334445,1081263.1924154225,2014-01-01,abs,36469.75348637874,35210.66625241912
5.1,6.9,2015-01-01,growth_yoy,3.5,5.3
1176941.0,1155866.0,2015-01-01,abs,37739.0,37063.0
4.4,4.8,2016-01-01,growth_yoy,3.0,3.3
1229312.0,1211301.0,2016-01-01,abs,38861.0,38292.0
5.8,5.8,2017-01-01,growth_yoy,4.5,4.5
1300769.0,1281719.0,2017-01-01,abs,40620.0,40025.0
4.8,4.2,2018-01-01,growth_yoy,3.7,3.0
1363766.0,1335058.0,2018-01-01,abs,42115.0,41228.0
4.4,5.0,2019-01-01,growth_yoy,4.0,4.6
1423952.0,1402096.0,2019-01-01,abs,43783.0,43111.0
1346249.0,1332466.0,2020-01-01,abs,41489.775487704756,41065.0
-5.5,-5.0,2020-01-01,growth_yoy,-5.2,-4.7
3.3,2.8,2021-01-01,growth_yoy,2.9,2.4
1390882.0,1370015.0,2021-01-01,abs,42696.14922238708,42055.59125569864
9.0,8.3,2022-01-01,growth_yoy,8.6,7.9
1516502.754,1484034.0,2022-01-01,abs,46378.890481054346,45385.905284126515
3.5,1.7,2023-01-01,growth_yoy,1.4,-0.4
1570142.424,1509262.5779999997,2023-01-01,abs,47027.79160598773,45204.361662990006
5.1,5.5,2024-01-01,growth_yoy,3.1,3.5
1650305.405,1592272.0197899996,2024-01-01,abs,48491.73791018493,46786.514321194656
1735647.167,1667108.8047201294,2025-01-01,abs,50707.116967106835,48704.761408363636
5.2,4.7,2025-01-01,growth_yoy,4.6,4.1
